Portfolio,Current Holding,Holding Name,Holding Sector,Holding Quant,Holding Score,Holding Val,Holding Growth,Holding Profit,Holding Mom,Holding Rev,Holding Analyst,Holding Upside,Holding FSI,Alt Ticker,Alt Name,Alt Quant,Alt Score,Alt Val,Alt Growth,Alt Profit,Alt Mom,Alt Rev,Alt Analyst,Alt Upside,Alt Div Yield,Alt FSI,Score Diff
Power,W,Wayfair Inc.,Consumer Cyclical,Hold,2.62,C,B,C-,C-,A,Buy,+43.0%,,HAS,"Hasbro, Inc.",Buy,3.85,C-,A,B,A,A,Buy,+19.5%,297.0%,,1.23
Power,W,Wayfair Inc.,Consumer Cyclical,Hold,2.62,C,B,C-,C-,A,Buy,+43.0%,,SON,Sonoco Products Company,Buy,3.81,A-,A,B-,A,C-,Buy,+22.8%,402.0%,,1.19
Power,BLBD,Blue Bird Corporation,Industrials,Hold,3.14,B+,B,B+,B-,C-,Strong Buy,+29.5%,,FIX,"Comfort Systems USA, Inc.",Buy,3.72,D+,A,B+,A+,B-,None,+23.5%,16.0%,FSI-SM,0.58
Power,BLBD,Blue Bird Corporation,Industrials,Hold,3.14,B+,B,B+,B-,C-,Strong Buy,+29.5%,,FTAI,FTAI Aviation Ltd.,Buy,3.95,D+,A,A,A,A-,Strong Buy,+40.9%,57.0%,,0.81
Power,BLBD,Blue Bird Corporation,Industrials,Hold,3.14,B+,B,B+,B-,C-,Strong Buy,+29.5%,,VRT,Vertiv Holdings Co,Buy,3.91,D,A,A-,A+,A-,Strong Buy,+0.9%,9.0%,,0.77
Power,UBER,"Uber Technologies, Inc.",Technology,Hold,2.60,B-,C+,B,C+,F,Buy,+42.3%,,LITE,Lumentum Holdings Inc.,Buy,3.61,D,A+,C+,A+,A-,Buy,+7.2%,0.0%,FSI-SM,1.01
Power,UBER,"Uber Technologies, Inc.",Technology,Hold,2.60,B-,C+,B,C+,F,Buy,+42.3%,,NVDA,NVIDIA Corporation,Buy,3.60,C,A,A,B,B-,Strong Buy,+45.4%,2.0%,FSI-LC,1.00
Power,UBER,"Uber Technologies, Inc.",Technology,Hold,2.60,B-,C+,B,C+,F,Buy,+42.3%,,AVGO,Broadcom Inc.,Buy,3.51,C+,A-,A,C+,A-,Strong Buy,+39.2%,76.0%,FSI-LC,0.91
Power,OKTA,"Okta, Inc.",Technology,Hold,3.07,C+,B+,C+,C+,A-,Buy,+27.9%,REMOVED,LITE,Lumentum Holdings Inc.,Buy,3.61,D,A+,C+,A+,A-,Buy,+7.2%,0.0%,FSI-SM,0.53
Power,OKTA,"Okta, Inc.",Technology,Hold,3.07,C+,B+,C+,C+,A-,Buy,+27.9%,REMOVED,NVDA,NVIDIA Corporation,Buy,3.60,C,A,A,B,B-,Strong Buy,+45.4%,2.0%,FSI-LC,0.52
Power,OKTA,"Okta, Inc.",Technology,Hold,3.07,C+,B+,C+,C+,A-,Buy,+27.9%,REMOVED,AVGO,Broadcom Inc.,Buy,3.51,C+,A-,A,C+,A-,Strong Buy,+39.2%,76.0%,FSI-LC,0.43
Power,TWLO,Twilio Inc.,Technology,Hold,3.17,C+,B,C-,B,A+,Buy,+14.3%,REMOVED,LITE,Lumentum Holdings Inc.,Buy,3.61,D,A+,C+,A+,A-,Buy,+7.2%,0.0%,FSI-SM,0.44
Power,TWLO,Twilio Inc.,Technology,Hold,3.17,C+,B,C-,B,A+,Buy,+14.3%,REMOVED,NVDA,NVIDIA Corporation,Buy,3.60,C,A,A,B,B-,Strong Buy,+45.4%,2.0%,FSI-LC,0.43
Power,TWLO,Twilio Inc.,Technology,Hold,3.17,C+,B,C-,B,A+,Buy,+14.3%,REMOVED,AVGO,Broadcom Inc.,Buy,3.51,C+,A-,A,C+,A-,Strong Buy,+39.2%,76.0%,FSI-LC,0.34
Power,ARQT,"Arcutis Biotherapeutics, Inc.",Healthcare,Hold,3.34,C-,A+,C+,B-,A+,Strong Buy,+51.7%,,HALO,"Halozyme Therapeutics, Inc.",Buy,3.88,B-,A+,A,B-,A,Buy,+32.9%,0.0%,FSI-SM,0.54
Power,ARQT,"Arcutis Biotherapeutics, Inc.",Healthcare,Hold,3.34,C-,A+,C+,B-,A+,Strong Buy,+51.7%,,AMGN,Amgen Inc.,Buy,3.63,C,B+,A-,A,C+,Buy,-4.8%,267.0%,FSI-LC|FSI-UP,0.29
Power,ARQT,"Arcutis Biotherapeutics, Inc.",Healthcare,Hold,3.34,C-,A+,C+,B-,A+,Strong Buy,+51.7%,,INDV,"Indivior Pharmaceuticals, Inc.",Buy,3.97,B+,A,A,B,B,Strong Buy,+51.8%,0.0%,,0.63
Power,APP,AppLovin Corporation,Communication Services,Hold,3.17,D+,A,A+,C-,B,Buy,+44.3%,REMOVED,META,"Meta Platforms, Inc.",Hold,3.35,C,A-,A,B-,C+,Strong Buy,+35.1%,32.0%,FSI-LC,0.18
