ticker,name,sector,quant_rating,quant_score,val_grade,growth_grade,profit_grade,mom_grade,rev_grade,analyst_label,upside,div_yield,market_cap,FSI
AMG,"Affiliated Managers Group, Inc.",Financial Services,Buy,3.57,C+,B,B,A-,A-,Strong Buy,+45.1%,1.0%,7606900224.0,
GOLD,"Gold.com, Inc.",Financial Services,Buy,3.57,C+,A,C-,A+,N/A,None,+36.4%,159.0%,1377046272.0,
O,Realty Income Corporation,Real Estate,Buy,3.57,C,B+,B,A-,B+,Hold,+3.3%,501.0%,60853444608.0,
ADI,"Analog Devices, Inc.",Technology,Buy,3.57,C,A,B,A-,B,Buy,+25.1%,127.0%,150010494976.0,
EPRT,"Essential Properties Realty Trust, ",Real Estate,Buy,3.56,C+,B+,A-,B+,B-,Strong Buy,+11.6%,376.0%,6948519936.0,
LCII,LCI Industries,Consumer Cyclical,Buy,3.56,B,A,C+,A-,C+,None,+30.8%,373.0%,2984717824.0,
HCC,"Warrior Met Coal, Inc.",Basic Materials,Buy,3.56,C+,A,C,B+,A,Buy,+18.2%,37.0%,4486337024.0,
CUBI,"Customers Bancorp, Inc.",Financial Services,Buy,3.56,B+,A,B-,B-,B+,Buy,+37.6%,0.0%,2275109632.0,
CRI,"Carter's, Inc.",Consumer Cyclical,Buy,3.56,B+,B,B-,A-,B-,Hold,+6.8%,289.0%,1262554112.0,
HNI,HNI Corporation,Consumer Cyclical,Buy,3.55,B-,A+,C+,B-,A,Strong Buy,+78.0%,336.0%,2883624704.0,
LEA,Lear Corporation,Consumer Cyclical,Buy,3.55,A,B-,C,A-,B+,Buy,+23.9%,266.0%,6153285120.0,
HFWA,Heritage Financial Corporation,Financial Services,Buy,3.54,B,A-,C+,B+,B+,None,+25.1%,383.0%,1031979328.0,
LMT,Lockheed Martin Corporation,Industrials,Buy,3.54,C,A-,B-,A,B-,Hold,+0.7%,208.0%,151063429120.0,
ABBV,AbbVie Inc.,Healthcare,Buy,3.54,C,B,A-,B,A+,Buy,+10.4%,304.0%,398492237824.0,
INDB,Independent Bank Corp.,Financial Services,Buy,3.54,B-,A-,C+,A-,A-,None,+19.9%,314.0%,3722260992.0,
LGND,Ligand Pharmaceuticals Incorporated,Healthcare,Buy,3.54,C-,A,B+,A-,C+,Strong Buy,+15.6%,0.0%,4217152256.0,
PFS,"Provident Financial Services, Inc.",Financial Services,Buy,3.53,A-,B+,B-,A-,C,None,+22.5%,471.0%,2666204160.0,
NEE,"NextEra Energy, Inc.",Utilities,Buy,3.53,D,A,B+,A-,B+,Buy,+2.2%,272.0%,191121473536.0,
KTB,"Kontoor Brands, Inc.",Consumer Cyclical,Buy,3.53,B-,A-,A-,C+,B,Buy,+39.6%,319.0%,3689748224.0,
GEF,"Greif, Inc.",Consumer Cyclical,Buy,3.53,B,B,B-,A-,B+,Hold,+19.7%,331.0%,3821983232.0,
ASTH,"Astrana Health, Inc.",Healthcare,Buy,3.53,B+,A,C-,B-,A,Strong Buy,+54.4%,0.0%,1166118016.0,
ES,Eversource Energy,Utilities,Buy,3.53,A-,A-,B+,B,C,Buy,+3.0%,426.0%,27490105344.0,
MOG-A,Moog Inc.,Industrials,Buy,3.53,C,A,B-,A,C+,None,+5.9%,39.0%,9724304384.0,
VTRS,Viatris Inc.,Healthcare,Buy,3.53,A,C,C-,A,A-,Buy,+12.3%,344.0%,15894424576.0,
FHI,"Federated Hermes, Inc.",Financial Services,Buy,3.53,B-,B,B+,A,C-,Hold,-1.7%,240.0%,4385274880.0,
SCCO,Southern Copper Corporation,Basic Materials,Buy,3.53,D+,A,A+,A,D+,Underperform,-16.7%,222.0%,149154381824.0,
NNN,"NNN REIT, Inc.",Real Estate,Buy,3.53,B-,B-,A-,A-,C+,Hold,+0.5%,534.0%,8537778176.0,
CZR,"Caesars Entertainment, Inc.",Consumer Cyclical,Buy,3.52,B,B-,C+,A,A-,Buy,+10.1%,0.0%,5798706176.0,
TTC,The Toro Company,Industrials,Buy,3.52,C+,B,B,A,B,Buy,+16.3%,161.0%,9300944896.0,
BRX,Brixmor Property Group Inc.,Real Estate,Buy,3.52,B-,B+,B+,A-,C,Strong Buy,+6.6%,401.0%,9102650368.0,
SMP,"Standard Motor Products, Inc.",Consumer Cyclical,Buy,3.52,A-,A-,C+,B,B-,Strong Buy,+33.3%,361.0%,808769728.0,
SUPN,"Supernus Pharmaceuticals, Inc.",Healthcare,Buy,3.52,C+,A-,C,B+,A+,Strong Buy,+25.2%,0.0%,2905573120.0,
AEIS,"Advanced Energy Industries, Inc.",Industrials,Buy,3.52,D+,B+,B-,A+,A,Buy,+8.3%,13.0%,11545009152.0,
LTC,"LTC Properties, Inc.",Real Estate,Buy,3.52,B-,A+,B,A-,C-,Hold,+3.9%,584.0%,1893335936.0,
KGS,"Kodiak Gas Services, Inc.",Energy,Buy,3.51,C-,B,B-,A,A,Strong Buy,-2.3%,346.0%,4667001344.0,
DAR,Darling Ingredients Inc.,Consumer Defensive,Buy,3.51,C+,B,C-,A+,A+,Strong Buy,+10.1%,0.0%,8934138880.0,
PCG,PG&E Corporation,Utilities,Buy,3.51,A,C,C,A-,A-,Buy,+24.0%,110.0%,39717277696.0,
OXY,Occidental Petroleum Corporation,Energy,Buy,3.51,C,A+,C+,B+,B+,Hold,-8.8%,187.0%,57607831552.0,
YUM,"Yum! Brands, Inc.",Consumer Cyclical,Buy,3.51,C-,B+,A,A-,C+,Buy,+8.4%,192.0%,43996868608.0,
AVGO,Broadcom Inc.,Technology,Buy,3.51,C+,A-,A,C+,A-,Strong Buy,+39.2%,76.0%,1592925749248.0,FSI-LC
HWM,Howmet Aerospace Inc.,Industrials,Buy,3.50,D,B+,A-,A,B-,Strong Buy,+14.6%,18.0%,98137554944.0,
EXEL,"Exelixis, Inc.",Healthcare,Buy,3.50,B,B,A,B,C,Buy,+13.8%,0.0%,11038177280.0,
NWN,Northwest Natural Holding Company,Utilities,Buy,3.50,A-,B,C+,A-,C+,Strong Buy,+8.5%,378.0%,2158826240.0,
