ticker,name,sector,industry,quant_rating,quant_score,val_grade,growth_grade,profit_grade,mom_grade,rev_grade,val_s,growth_s,profit_s,mom_s,rev_s,analyst_label,num_analysts,upside,div_yield,price,market_cap,pe_ttm,pe_fwd,rev_growth,earn_growth,roe,net_margin,mom_3m,mom_6m,mom_12m
ALG,Alamo Group Inc.,Industrials,Farm & Heavy Construction Machinery,Hold,2.5572529481531134,A-,D+,C+,C,C,75.8112235209685,12.78666997539136,36.514773056240855,34.97942386831276,34.42622950819672,Buy,4,22.979723773141348,0.73,170.15,2062438144.0,19.807915,14.779587,-0.03,-0.45,0.0958,0.06473,2.1332620140611436,-19.18504887039749,
IOSP,Innospec Inc.,Basic Materials,Specialty Chemicals,Hold,2.5561731908447127,A-,C,B-,D+,C,79.59347153443237,27.77777777777778,51.08447488584475,12.414383561643834,27.397260273972602,None,3,44.31691123056807,2.53,68.83,1705460096.0,14.738758,10.9689245,-0.024,,0.09149,0.06558,-12.29613015310993,-16.713503397444875,
BANR,Banner Corporation,Financial Services,Banks - Regional,Hold,2.5560437938598417,B,C,B-,C,C-,64.13687989649338,31.27759908411928,45.23733671528218,30.4,21.138211382113823,None,6,19.93035052241321,3.3,59.34,2023366784.0,10.521276,9.449044,0.049,0.113,0.10503,0.30166,-10.484824406536209,-10.38766071245255,
ASH,Ashland Inc.,Basic Materials,Specialty Chemicals,Hold,2.555199369734388,B+,C-,C-,C-,B+,69.80707494587006,20.833333333333336,22.48097412480974,21.46118721461187,72.6027397260274,Buy,10,33.38564142801099,3.26,50.98,2332966656.0,,10.760268,-0.047,,-0.29978,-0.38338003,-14.234566173236784,-5.416270925270861,
WHD,"Cactus, Inc.",Energy,Oil & Gas Equipment & Services,Hold,2.5542173326074256,C+,C,B,D+,B,38.89268263881267,31.655844155844157,63.01435406698565,10.38961038961039,63.63636363636363,Buy,9,22.946869565217387,1.22,46.0,3169392640.0,19.087135,12.983017,-0.04,-0.154,0.14952,0.15385,-1.8314832236423273,10.907222511989412,
AAL,American Airlines Group Inc.,Industrials,Airlines,Hold,2.553280454915127,B+,C-,C-,D+,A+,72.79655209775935,18.174204355108877,16.558726303717194,10.2880658436214,98.36065573770492,Buy,24,62.618483412322256,0.0,10.55,6966213632.0,62.058823,3.8461118,0.025,-0.831,,0.0020299999,-30.317042531290937,-18.532817332924168,
LUMN,"Lumen Technologies, Inc.",Communication Services,Telecom Services,Hold,2.5508041958041963,B+,D+,D+,B-,B-,72.41258741258741,9.375,14.772727272727273,46.92307692307693,51.515151515151516,Hold,10,19.177018633540357,0.0,6.44,6605145600.0,,-22.345594,-0.087,,,-0.14022,-25.891826110813888,5.747123787236363,
CARR,Carrier Global Corporation,Industrials,Building Products & Equipment,Hold,2.548568264130732,B-,D,C,B-,B+,46.48850143853069,5.486279132286949,29.307495108952303,48.76543209876543,68.44262295081968,Buy,21,27.100460258452806,1.64,56.49,47216824320.0,33.426037,17.78658,-0.06,-0.978,0.10925,0.06824,6.24028467504143,-8.586735969110205,
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Residential Construction,Hold,2.541645940220235,B,C-,B,C,C-,60.09425407062754,19.840231284236157,58.25247782994262,32.629107981220656,18.30985915492958,Hold,15,15.170691887226706,1.26,139.04,40474480640.0,12.651501,11.291946,-0.095,-0.222,0.13477,0.09948,-10.197353775571772,-22.7293543003677,
MRTN,"Marten Transport, Ltd.",Industrials,Trucking,Hold,2.5402445858895146,B,D+,D+,C+,B+,58.6076228902711,9.52809314060012,14.998142640115386,44.23868312757202,72.1311475409836,Hold,2,22.164048865619534,2.09,11.46,934473088.0,54.57143,26.504465,-0.088,-0.422,0.022720002,0.01974,-0.10043460831629103,-3.1931405721737693,
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,Hold,2.539974580959258,C-,C,B+,C+,C-,22.504872859987536,29.04899573950091,72.8091512035174,42.95774647887325,19.248826291079812,Buy,33,21.049402531496185,2.66,338.93,337408688128.0,23.801264,20.778591,-0.038,-0.145,1.45541,0.08596,-3.474497967464829,-19.43646852416886,
